customer_id,signup_date,country,customer_type
C0001,2025-01-22,Pakistan,New
C0002,"Jan 05, 2025",nan,New
C0003,02-23-2025,Saudi Arabia,Returning
C0004,,UAE,Returning
C0005,2025-02-13,Pakistan,Returning
C0006,2025-01-28,Pakistan,Returning
C0007,01-20-2025,Pakistan,Returning
C0008,2025-04-16,USA,Returning
C0009,2025-01-17,Saudi Arabia,New
C0010,2025-04-25,Saudi Arabia,New
C0011,03-23-2025,Pakistan,New
C0012,2025-01-07,nan,nan
C0013,,UK,Returning
C0014,19/01/2025,Pakistan,New
C0015,2025-02-12,Pakistan,Returning
C0016,2025-02-15,Pakistan,Returning
C0017,"Apr 09, 2025",Pakistan,New
C0018,2025-04-27,UAE,New
C0019,"Jan 06, 2025",UAE,Returning
C0020,2025-04-19,Pakistan,New
C0021,2025-02-08,Saudi Arabia,Returning
C0022,04-16-2025,Pakistan,New
C0023,2025-03-23,Pakistan,Returning
C0024,02-12-2025,Pakistan,nan
C0025,2025-03-29,UAE,Returning
C0026,2025-04-25,UK,New
C0027,02-24-2025,Pakistan,Returning
C0028,"Jan 02, 2025",UAE,Returning
C0029,2025-02-01,UAE,New
C0030,24/03/2025,Pakistan,Returning
C0031,2025-03-08,Saudi Arabia,New
C0032,2025-02-23,Pakistan,New
C0033,2025-01-31,Pakistan,New
C0034,2025-02-11,nan,New
C0035,2025-03-07,nan,New
C0036,2025-01-20,UK,Returning
C0037,2025-01-19,Pakistan,New
C0038,"Mar 15, 2025",Pakistan,Returning
C0039,2025-01-19,Saudi Arabia,New
C0040,03-11-2025,UAE,New
C0041,2025-03-08,Pakistan,New
C0042,2025-04-28,UAE,Returning
C0043,2025-02-21,Pakistan,New
C0044,2025-01-09,nan,Returning
C0045,2025-03-31,Pakistan,Returning
C0046,2025-04-15,Saudi Arabia,Returning
C0047,2025-01-25,Pakistan,New
C0048,2025-03-15,UAE,New
C0049,,UAE,Returning
C0050,18/04/2025,Pakistan,New
C0051,26/02/2025,nan,Returning
C0052,2025-03-12,UK,New
C0053,2025-04-23,nan,Returning
C0054,2025-02-07,USA,Returning
C0055,2025-01-14,UAE,nan
C0056,2025-01-09,nan,New
C0057,2025-02-14,Pakistan,Returning
C0058,2025-02-26,Pakistan,New
C0059,2025-01-16,Pakistan,New
C0060,2025-02-15,Pakistan,Returning
C0061,2025-01-20,Pakistan,Returning
C0062,2025-03-15,Pakistan,nan
C0063,2025-02-23,UK,Returning
C0064,2025-03-30,Pakistan,New
C0065,2025-03-12,Pakistan,New
C0066,2025-02-01,UAE,Returning
C0067,2025-03-13,Pakistan,New
C0068,2025-03-10,UK,New
C0069,2025-02-10,Pakistan,New
C0070,2025-02-21,nan,New
C0071,2025-01-14,UK,New
C0072,2025-04-29,Pakistan,New
C0073,2025-02-03,Pakistan,New
C0074,04-14-2025,UK,New
C0075,2025-02-17,Saudi Arabia,nan
C0076,2025-02-01,Saudi Arabia,New
C0077,2025-03-31,UK,New
C0078,2025-03-15,Pakistan,Returning
C0079,"Feb 22, 2025",Pakistan,New
