order_id,customer_id,order_date,product_id,quantity,unit_price,discount
O0001,C0270,2025-02-09,P019,1.0,,0.0
O0002,C0255,30/03/2025,P005,1.0,12000.0,0.0
O0003,C0935,16/05/2025,P008,1.0,5000.0,0.0
O0004,C0258,2025-06-29,P007,1.0,5000.0,0.15
O0005,C0281,2025-04-12,P014,2.0,12000.0,0.0
O0006,C0783,04-12-2025,P003,0.0,2500.0,0.0
O0007,C0464,2025-05-16,P018,2.0,5000.0,0.1
O0008,C0801,2025-02-17,P016,2.0,2000.0,0.0
O0009,C0068,2025-06-05,P019,1.0,5000.0,0.05
O0010,C0503,2025-03-06,P019,1.0,,0.0
O0011,C0035,03-13-2025,P018,1.0,12000.0,
O0012,C0065,2025-03-06,P020,2.0,2000.0,0.15
O0013,C0935,2025-05-15,P016,5.0,12000.0,0.15
O0014,C0144,2025-01-21,P008,2.0,2000.0,0.0
O0015,C0549,2025-06-08,P001,1.0,5000.0,0.1
O0016,C0424,2025-01-27,P017,1.0,5000.0,0.0
O0017,C0359,2025-05-16,P012,2.0,2500.0,0.0
O0018,C0928,05-01-2025,P011,1.0,2500.0,0.0
O0019,C0023,2025-02-24,P005,3.0,2500.0,0.05
O0020,C0685,23/04/2025,P012,3.0,2000.0,0.05
O0021,C0994,02/06/2025,P017,2.0,2500.0,0.05
O0022,C0578,2025-05-30,P006,1.0,5000.0,0.0
O0023,C0966,2025-06-24,P001,1.0,12000.0,0.0
O0024,C0054,2025-01-17,P005,1.0,12000.0,0.1
O0025,C0432,2025-02-12,P014,1.0,2000.0,0.0
O0026,C0269,2025-04-01,P005,1.0,12000.0,0.1
O0027,C0754,2025-06-21,P001,2.0,5000.0,0.0
O0028,C8888,2025-02-13,P018,2.0,4000.0,0.15
O0029,C0265,2025-01-17,P016,1.0,2500.0,0.05
O0030,C0675,2025-06-21,P009,1.0,12000.0,0.0
O0031,C0205,2025-03-28,P019,1.0,5000.0,0.0
O0032,C0583,2025-06-12,P005,1.0,5000.0,0.05
O0033,C0479,2025-04-16,P002,3.0,12000.0,0.15
O0034,C9999,2025-02-15,P015,1.0,12000.0,0.0
O0035,C0628,2025-06-04,P007,1.0,2000.0,0.0
O0036,C0361,2025-06-28,P004,1.0,2000.0,0.15
O0037,C0118,2025-03-07,P001,4.0,2000.0,0.1
O0038,C0156,,P013,2.0,12000.0,0.0
O0039,C0233,2025-01-17,P020,1.0,2500.0,0.05
O0040,C0259,2025-01-11,P007,1.0,12000.0,0.0
O0041,C0877,2025-03-08,P015,2.0,4000.0,0.05
O0042,C0579,2025-04-30,P014,-1.0,2500.0,0.0
O0043,C0540,2025-05-07,P019,1.0,5000.0,
O0044,C0119,2025-01-30,P020,4.0,5000.0,0.05
O0045,C0887,2025-03-16,P018,5.0,2500.0,0.05
O0046,C0746,2025-03-06,P010,5.0,12000.0,0.05
O0047,C0070,2025-04-08,P009,2.0,2000.0,0.2
O0048,C0730,14/05/2025,P008,2.0,5000.0,0.15
O0049,C0561,"Apr 25, 2025",P010,1.0,2000.0,0.05
O0050,C0085,2025-04-21,P017,3.0,12000.0,0.1
O0051,C0473,2025-04-15,P002,1.0,5000.0,0.05
O0052,C0500,2025-02-05,P006,2.0,2000.0,0.05
O0053,C0171,2025-06-24,P005,1.0,12000.0,0.0
O0054,C0975,04-17-2025,P009,2.0,12000.0,0.05
O0055,C0877,2025-04-10,P005,3.0,5000.0,0.0
O0056,C0690,2025-03-03,P018,1.0,5000.0,0.2
O0057,C0477,2025-02-16,P020,3.0,12000.0,0.0
O0058,C0425,16/06/2025,P009,1.0,5000.0,
O0059,C0672,2025-01-31,P017,3.0,2500.0,0.05
O0060,C0563,2025-03-15,P017,1.0,5000.0,0.05
O0061,C0065,2025-02-10,P012,1.0,4000.0,0.05
O0062,C0529,2025-05-31,P007,5.0,5000.0,0.0
O0063,C0832,2025-04-09,P003,1.0,12000.0,0.0
