return_id,order_id,return_date,reason
R0001,O0985,2025-03-06,Damaged
R0002,O0846,07/04/2025,Late Delivery
R0003,O0984,21/05/2025,Defective Item
R0004,O0072,2025-06-09,Damaged
R0005,O0423,2025-03-02,Defective Item
R0006,O0606,2025-03-04,Wrong Size/Item
R0007,O0664,2025-03-01,Wrong Size/Item
R0008,O0292,2025-03-07,Late Delivery
R0009,O0814,19/06/2025,Defective Item
R0010,O0740,2025-02-10,Defective Item
R0011,O0319,2025-04-23,Damaged
R0012,O0549,2025-04-01,Damaged
R0013,O0216,2025-04-02,Defective Item
R0014,O0596,2025-06-22,Defective Item
R0015,O0802,2025-04-28,Wrong Size/Item
R0016,O0892,2025-03-29,Damaged
R0017,O0196,02/06/2025,Damaged
R0018,O0270,2025-03-08,Changed Mind
R0019,O0157,2025-02-23,Wrong Size/Item
R0020,O0687,2025-02-26,Late Delivery
R0021,O0434,2025-03-12,Changed Mind
R0022,O0123,"Feb 01, 2025",Defective Item
R0023,O0229,06-01-2025,Late Delivery
R0024,O0025,2025-06-29,Wrong Size/Item
R0025,O0379,03-22-2025,Damaged
R0026,O0226,"Feb 03, 2025",Defective Item
R0027,O0094,2025-05-01,Defective Item
R0028,O0329,2025-05-08,Defective Item
R0029,O0626,2025-05-08,Defective Item
R0030,O0019,2025-05-17,Defective Item
R0031,O0458,2025-02-02,Damaged
R0032,O0637,2025-05-30,Damaged
R0033,O0279,05-07-2025,Damaged
R0034,O0414,03-19-2025,Damaged
R0035,O0913,2025-03-15,Defective Item
R0036,O0969,26/05/2025,Wrong Size/Item
R0037,O0482,"Jun 09, 2025",Damaged
R0038,O0624,2025-05-04,Changed Mind
R0039,O0375,2025-04-30,Late Delivery
R0040,O0669,2025-04-21,Wrong Size/Item
R0041,O0197,2025-04-27,Late Delivery
R0042,O0699,2025-02-16,Defective Item
R0043,O0734,2025-05-28,Damaged
R0044,O0578,2025-05-28,Changed Mind
R0045,O0847,2025-02-02,Damaged
R0046,O0766,03-20-2025,nan
R0047,O0629,18/05/2025,Wrong Size/Item
R0048,O0648,2025-03-27,Defective Item
R0049,O0742,2025-06-01,Defective Item
R0050,O0571,06-03-2025,Defective Item
R0051,O0813,2025-05-20,Damaged
R0052,O0345,2025-03-13,Defective Item
R0053,O0584,2025-02-10,Late Delivery
R0054,O0491,2025-03-08,Defective Item
R0055,O0350,2025-03-01,Damaged
R0056,O0618,2025-02-11,Defective Item
R0057,O0431,2025-06-07,Changed Mind
R0058,O0867,09/04/2025,Wrong Size/Item
R0059,O0974,2025-02-08,Wrong Size/Item
R0060,O0139,03-01-2025,nan
R0061,O0517,07/02/2025,Defective Item
R0062,O0263,2025-06-10,Defective Item
R0063,O0821,2025-05-24,Late Delivery
R0064,O0027,05-29-2025,Late Delivery
R0065,O0355,2025-03-30,Damaged
R0066,O0004,04-06-2025,Damaged
R0067,O0056,2025-02-18,Late Delivery
R0068,O0070,2025-02-10,Damaged
R0069,O0616,2025-02-22,Changed Mind
R0070,O0015,2025-04-22,Damaged
R0071,O0611,2025-03-07,Defective Item
R0072,O0182,2025-03-04,Damaged
R0073,O0399,2025-06-11,Late Delivery
R0074,O0221,2025-03-28,Changed Mind
R0075,O0672,30/05/2025,Wrong Size/Item
R0076,O0134,06-09-2025,Changed Mind
R0077,O0666,2025-06-15,Damaged
R0078,O0268,2025-06-16,Damaged
R0079,O0048,2025-05-27,Late Delivery
R0080,O0425,05-23-2025,Changed Mind
R0081,O0947,2025-05-21,Late Delivery
R0082,O0877,2025-03-07,Late Delivery
R0083,O0427,30/04/2025,Defective Item
R0084,O0979,2025-06-26,Damaged
R0085,O0959,,Changed Mind
R0086,O0126,2025-04-11,Defective Item
R0087,O0422,,Defective Item
R0088,O0551,2025-02-19,Wrong Size/Item
R0089,O0963,2025-03-31,Defective Item
R0090,O0851,2025-04-04,Late Delivery
R0091,O0474,04-13-2025,Damaged
R0092,O0879,2025-04-15,Late Delivery
R0093,O0363,2025-02-14,Wrong Size/Item
R0094,O0805,2025-06-28,Wrong Size/Item
R0095,O0940,04-24-2025,Defective Item
R0096,O0397,05-18-2025,Damaged
R0097,O0020,2025-02-13,Defective Item
R0098,O0127,03-29-2025,Defective Item
R0099,O0986,2025-05-03,Wrong Size/Item
R0100,O0014,27/02/2025,Defective Item
R0101,O0904,24/02/2025,Damaged
R0102,O0951,2025-06-15,Damaged
R0103,O0257,26/03/2025,Wrong Size/Item
R0104,O0760,2025-04-05,Damaged
R0105,O0907,2025-05-14,Changed Mind
R0106,O0074,2025-04-22,Wrong Size/Item
R0107,O0915,2025-05-13,Late Delivery
