event_id,customer_id,event_time,event_name,device,channel
E0001,C0173,2025-05-03 09:27:49,product_view,Desktop,nan
E0002,C0125,2025-01-02 19:21:44,product_view,Mobile,Instagram
E0003,C0089,2025-02-28 11:18:15,product_view,Desktop,Facebook
E0004,C0938,2025-03-23 17:24:11,begin_checkout,Mobile,Instagram
E0005,C0200,2025-05-09 11:34:49,add_to_cart,Desktop,Google Search
E0006,C0430,2025-01-20 14:36:00,begin_checkout,Tablet,Direct
E0007,C0463,2025-05-09 15:23:39,add_to_cart,Desktop,Google Search
E0008,C0618,2025-04-12 00:49:00,product_view,Mobile,Google Search
E0009,C0074,2025.02.22 - 10:11,product_view,Mobile,Google Search
E0010,C0234,2025-05-01 22:26:52,product_view,Tablet,Facebook
E0011,C0961,2025-04-28 14:27:38,add_to_cart,Mobile,nan
E0012,C0937,,begin_checkout,Mobile,Instagram
E0013,C0806,2025-01-27 15:13:42,product_view,Desktop,Google Search
E0014,C0021,2025-03-23 07:52:10,add_to_cart,Mobile,Direct
E0015,C0338,11/06/2025 07:07 AM,product_view,Mobile,Google Search
E0016,C0648,2025-06-24 11:52:54,product_view,Mobile,Instagram
E0017,C0284,21/01/2025 08:56 AM,product_view,Mobile,Google Search
E0018,C0938,2025.04.10 - 08:09,product_view,Mobile,Google Search
E0019,C0654,2025-05-20 13:41:36,product_view,Desktop,Instagram
E0020,C0075,2025.04.30 - 22:40,product_view,Mobile,Direct
E0021,C0938,2025-01-23 20:40:58,product_view,Desktop,Google Search
E0022,C0988,2025-02-24 21:30:32,product_view,Desktop,Email Marketing
E0023,C0081,2025-01-23 03:20:13,add_to_cart,Desktop,Direct
E0024,C0549,2025-06-02 09:14:49,product_view,Mobile,Facebook
E0025,C0313,2025-01-21 15:13:29,nan,Desktop,Instagram
E0026,C0405,2025-04-07 15:37:55,product_view,Mobile,Google Search
E0027,C0186,2025-02-08 13:45:37,product_view,Mobile,Instagram
E0028,C0596,29/04/2025 06:09 AM,product_view,Desktop,Email Marketing
E0029,C0988,2025-02-08 18:53:58,product_view,Mobile,Instagram
E0030,C0519,2025-06-01 01:33:04,begin_checkout,Tablet,Instagram
E0031,C0086,2025-02-21 01:38:25,product_view,Mobile,Google Search
E0032,C0640,2025-06-11 11:03:55,purchase,Desktop,Instagram
E0033,C0351,2025-04-12 14:02:15,purchase,Mobile,Instagram
E0034,C0883,2025-02-09 03:51:54,add_to_cart,Tablet,Google Search
E0035,C0449,2025-03-11 12:02:11,add_to_cart,Mobile,Instagram
E0036,C0199,2025-05-17 14:15:10,add_to_cart,Mobile,Instagram
E0037,C0198,2025-03-21 13:36:08,product_view,Mobile,Google Search
E0038,C0793,2025-02-27 08:26:10,add_to_cart,Mobile,Facebook
E0039,C0274,2025-02-01 03:23:42,product_view,Mobile,Google Search
E0040,C0791,2025-01-08 15:38:38,product_view,Desktop,Google Search
E0041,C0213,2025-04-17 10:30:42,product_view,Mobile,Google Search
E0042,C0332,2025-04-07 09:10:50,add_to_cart,Mobile,Google Search
E0043,C0480,2025.06.26 - 18:34,purchase,Mobile,Email Marketing
E0044,C0973,2025-02-10 07:55:26,product_view,Desktop,Instagram
